"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Mar 26 21:18:38 UTC 2024","Tue Mar 26 21:18:48 UTC 2024","10794","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_price_slider",""
"passed","Tue Mar 26 21:19:42 UTC 2024","Tue Mar 26 21:19:48 UTC 2024","6660","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","188","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Tue Mar 26 21:13:36 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","456","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_advanced_search",""
"passed","Tue Mar 26 21:17:23 UTC 2024","Tue Mar 26 21:17:33 UTC 2024","9797","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 21:18:57 UTC 2024","Tue Mar 26 21:19:04 UTC 2024","7064","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_result",""
"passed","Tue Mar 26 21:19:25 UTC 2024","Tue Mar 26 21:19:33 UTC 2024","7287","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","188","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
"failed","Tue Mar 26 21:17:33 UTC 2024","Tue Mar 26 21:17:44 UTC 2024","10905","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_price_slider",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","534","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","171","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Tue Mar 26 21:19:18 UTC 2024","Tue Mar 26 21:19:25 UTC 2024","7501","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
"passed","Tue Mar 26 21:19:04 UTC 2024","Tue Mar 26 21:19:09 UTC 2024","5651","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_suggestions",""
"passed","Tue Mar 26 21:20:43 UTC 2024","Tue Mar 26 21:20:56 UTC 2024","13166","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 21:18:26 UTC 2024","Tue Mar 26 21:18:38 UTC 2024","11455","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 21:20:30 UTC 2024","Tue Mar 26 21:20:43 UTC 2024","12870","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","188","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Tue Mar 26 21:20:07 UTC 2024","Tue Mar 26 21:20:18 UTC 2024","11212","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 21:17:15 UTC 2024","Tue Mar 26 21:17:23 UTC 2024","8389","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 21:19:48 UTC 2024","Tue Mar 26 21:19:55 UTC 2024","6628","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_suggestions",""
"failed","Tue Mar 26 21:18:05 UTC 2024","Tue Mar 26 21:18:17 UTC 2024","12465","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_price_slider",""
"passed","Tue Mar 26 21:20:18 UTC 2024","Tue Mar 26 21:20:30 UTC 2024","12100","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 21:20:56 UTC 2024","Tue Mar 26 21:21:09 UTC 2024","12765","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 21:19:33 UTC 2024","Tue Mar 26 21:19:42 UTC 2024","9052","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Tue Mar 26 21:18:48 UTC 2024","Tue Mar 26 21:18:57 UTC 2024","8110","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_empty_search",""
"passed","Tue Mar 26 21:13:38 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","250","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
"passed","Tue Mar 26 21:19:09 UTC 2024","Tue Mar 26 21:19:18 UTC 2024","8683","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_empty_search",""
"passed","Tue Mar 26 21:13:36 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","281","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Tue Mar 26 21:13:38 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","78","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Tue Mar 26 21:14:32 UTC 2024","Tue Mar 26 21:15:55 UTC 2024","83701","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_1_edge","","","test_add_to_cart",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","96","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_uk",""
"passed","Tue Mar 26 21:19:55 UTC 2024","Tue Mar 26 21:20:07 UTC 2024","11448","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 21:17:53 UTC 2024","Tue Mar 26 21:18:05 UTC 2024","11063","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 21:13:38 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","188","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"passed","Tue Mar 26 21:15:55 UTC 2024","Tue Mar 26 21:17:15 UTC 2024","79635","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"passed","Tue Mar 26 21:17:44 UTC 2024","Tue Mar 26 21:17:53 UTC 2024","9281","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","187","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","1438","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"failed","Tue Mar 26 21:13:36 UTC 2024","Tue Mar 26 21:13:38 UTC 2024","1394","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_DESC_price_advanced_search",""
"passed","Tue Mar 26 21:13:36 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","328","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"passed","Tue Mar 26 21:13:40 UTC 2024","Tue Mar 26 21:14:32 UTC 2024","51496","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","156","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Tue Mar 26 21:13:37 UTC 2024","Tue Mar 26 21:13:37 UTC 2024","110","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_name",""
"passed","Tue Mar 26 21:18:17 UTC 2024","Tue Mar 26 21:18:26 UTC 2024","9259","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_owned_from_search",""
