"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 09:55:49 UTC 2024","Tue Mar 26 09:55:57 UTC 2024","7188","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Tue Mar 26 09:52:42 UTC 2024","Tue Mar 26 09:52:43 UTC 2024","281","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Tue Mar 26 09:52:41 UTC 2024","Tue Mar 26 09:52:41 UTC 2024","234","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Tue Mar 26 09:52:42 UTC 2024","Tue Mar 26 09:52:43 UTC 2024","359","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Tue Mar 26 09:54:17 UTC 2024","Tue Mar 26 09:54:26 UTC 2024","8970","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 09:52:42 UTC 2024","Tue Mar 26 09:52:42 UTC 2024","218","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_uk",""
"passed","Tue Mar 26 09:52:43 UTC 2024","Tue Mar 26 09:52:43 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Tue Mar 26 09:52:42 UTC 2024","Tue Mar 26 09:52:42 UTC 2024","254","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
"passed","Tue Mar 26 09:55:45 UTC 2024","Tue Mar 26 09:55:49 UTC 2024","4161","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"passed","Tue Mar 26 09:53:55 UTC 2024","Tue Mar 26 09:54:05 UTC 2024","9965","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 09:52:41 UTC 2024","Tue Mar 26 09:52:42 UTC 2024","786","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Tue Mar 26 09:55:57 UTC 2024","Tue Mar 26 09:56:01 UTC 2024","4833","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Tue Mar 26 09:55:40 UTC 2024","Tue Mar 26 09:55:45 UTC 2024","4998","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
