"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 08:41:09 UTC 2024","Tue Mar 26 08:41:18 UTC 2024","8974","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:02 UTC 2024","2000","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Tue Mar 26 08:42:14 UTC 2024","Tue Mar 26 08:42:19 UTC 2024","4843","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Tue Mar 26 08:39:04 UTC 2024","Tue Mar 26 08:39:40 UTC 2024","35790","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_1_edge","","","test_add_to_cart",""
"passed","Tue Mar 26 08:38:02 UTC 2024","Tue Mar 26 08:38:02 UTC 2024","203","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Tue Mar 26 08:41:40 UTC 2024","Tue Mar 26 08:41:46 UTC 2024","5198","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_empty_search",""
"passed","Tue Mar 26 08:43:08 UTC 2024","Tue Mar 26 08:43:19 UTC 2024","11097","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 08:42:53 UTC 2024","Tue Mar 26 08:43:08 UTC 2024","15809","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:00 UTC 2024","188","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_name",""
"passed","Tue Mar 26 08:38:02 UTC 2024","Tue Mar 26 08:38:02 UTC 2024","281","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:00 UTC 2024","579","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_advanced_search",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:01 UTC 2024","797","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Tue Mar 26 08:40:46 UTC 2024","Tue Mar 26 08:40:57 UTC 2024","10864","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_wishlist_from_search",""
"broken","Tue Mar 26 08:38:01 UTC 2024","Tue Mar 26 08:38:22 UTC 2024","21024","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Tue Mar 26 08:38:22 UTC 2024","Tue Mar 26 08:38:22 UTC 2024","438","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Tue Mar 26 08:40:15 UTC 2024","Tue Mar 26 08:40:25 UTC 2024","9550","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:00 UTC 2024","251","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_uk",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:02 UTC 2024","2220","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_DESC_price_advanced_search",""
"passed","Tue Mar 26 08:42:32 UTC 2024","Tue Mar 26 08:42:44 UTC 2024","12015","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"failed","Tue Mar 26 08:41:29 UTC 2024","Tue Mar 26 08:41:40 UTC 2024","11611","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_price_slider",""
"passed","Tue Mar 26 08:42:08 UTC 2024","Tue Mar 26 08:42:14 UTC 2024","5857","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Tue Mar 26 08:38:00 UTC 2024","Tue Mar 26 08:38:01 UTC 2024","484","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
