"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 09:20:21 UTC 2024","Tue Mar 26 09:20:31 UTC 2024","9874","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_empty_search",""
"passed","Tue Mar 26 09:18:09 UTC 2024","Tue Mar 26 09:19:32 UTC 2024","82875","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"broken","Tue Mar 26 09:20:30 UTC 2024","Tue Mar 26 09:20:44 UTC 2024","13075","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 09:18:09 UTC 2024","Tue Mar 26 09:19:36 UTC 2024","86697","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 09:18:07 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","172","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"passed","Tue Mar 26 09:20:09 UTC 2024","Tue Mar 26 09:20:15 UTC 2024","6115","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_result",""
"passed","Tue Mar 26 09:18:06 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","187","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"broken","Tue Mar 26 09:20:43 UTC 2024","Tue Mar 26 09:25:43 UTC 2024","300042","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 09:18:07 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","141","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Tue Mar 26 09:19:52 UTC 2024","Tue Mar 26 09:20:09 UTC 2024","16814","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"passed","Tue Mar 26 09:18:07 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","172","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Tue Mar 26 09:18:06 UTC 2024","Tue Mar 26 09:18:06 UTC 2024","234","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"passed","Tue Mar 26 09:18:06 UTC 2024","Tue Mar 26 09:18:06 UTC 2024","516","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Tue Mar 26 09:18:07 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","94","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Tue Mar 26 09:18:09 UTC 2024","Tue Mar 26 09:19:42 UTC 2024","92759","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"passed","Tue Mar 26 09:20:21 UTC 2024","Tue Mar 26 09:20:30 UTC 2024","9243","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Tue Mar 26 09:18:06 UTC 2024","Tue Mar 26 09:18:08 UTC 2024","1484","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Tue Mar 26 09:18:07 UTC 2024","Tue Mar 26 09:18:07 UTC 2024","156","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Tue Mar 26 09:18:06 UTC 2024","Tue Mar 26 09:18:06 UTC 2024","171","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"broken","Tue Mar 26 09:20:32 UTC 2024","Tue Mar 26 09:20:43 UTC 2024","10609","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_add_game_to_wishlist",""
"passed","Tue Mar 26 09:20:20 UTC 2024","Tue Mar 26 09:20:30 UTC 2024","9433","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_suggestions",""
