"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 13:54:05 UTC 2024","Sun Mar 24 13:54:45 UTC 2024","40041","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_empty_search",""
"broken","Sun Mar 24 13:54:55 UTC 2024","Sun Mar 24 13:54:55 UTC 2024","0","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_2_firefox","","","test_remove_from_wishlist",""
"passed","Sun Mar 24 13:53:59 UTC 2024","Sun Mar 24 13:53:59 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"broken","Sun Mar 24 13:54:05 UTC 2024","Sun Mar 24 13:54:05 UTC 2024","0","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"broken","Sun Mar 24 13:54:55 UTC 2024","Sun Mar 24 13:54:55 UTC 2024","0","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_1_edge","","","test_remove_from_wishlist",""
"passed","Sun Mar 24 13:54:47 UTC 2024","Sun Mar 24 13:54:55 UTC 2024","7802","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_2_firefox","","","test_search_result",""
"passed","Sun Mar 24 13:54:00 UTC 2024","Sun Mar 24 13:54:00 UTC 2024","125","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"broken","Sun Mar 24 13:54:05 UTC 2024","Sun Mar 24 13:54:05 UTC 2024","0","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"passed","Sun Mar 24 13:54:45 UTC 2024","Sun Mar 24 13:54:57 UTC 2024","11609","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"passed","Sun Mar 24 13:54:05 UTC 2024","Sun Mar 24 13:54:44 UTC 2024","39292","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_0_chrome","","","test_search_result",""
"passed","Sun Mar 24 13:54:01 UTC 2024","Sun Mar 24 13:54:03 UTC 2024","2126","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Sun Mar 24 13:53:58 UTC 2024","Sun Mar 24 13:53:58 UTC 2024","376","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
