"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:40 UTC 2024","234","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Sun Mar 24 20:39:40 UTC 2024","Sun Mar 24 20:39:40 UTC 2024","251","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"broken","Sun Mar 24 20:46:12 UTC 2024","Sun Mar 24 20:46:38 UTC 2024","25733","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_owned_from_search",""
"passed","Sun Mar 24 20:39:38 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","452","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
"failed","Sun Mar 24 20:45:40 UTC 2024","Sun Mar 24 20:46:12 UTC 2024","32525","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_price_slider",""
"passed","Sun Mar 24 20:39:38 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","891","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search_found_apps",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","218","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"broken","Sun Mar 24 20:41:15 UTC 2024","Sun Mar 24 20:41:23 UTC 2024","8162","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_owned_from_search",""
"broken","Sun Mar 24 20:40:17 UTC 2024","Sun Mar 24 20:40:50 UTC 2024","32674","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_1_edge","","","test_add_to_cart",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","250","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
"passed","Sun Mar 24 20:39:38 UTC 2024","Sun Mar 24 20:39:38 UTC 2024","282","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_uk",""
"passed","Sun Mar 24 20:39:38 UTC 2024","Sun Mar 24 20:39:40 UTC 2024","2219","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"broken","Sun Mar 24 20:46:38 UTC 2024","Sun Mar 24 20:46:49 UTC 2024","11019","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_hide_wishlist_from_search",""
"passed","Sun Mar 24 20:39:37 UTC 2024","Sun Mar 24 20:39:38 UTC 2024","407","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","313","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"passed","Sun Mar 24 20:39:38 UTC 2024","Sun Mar 24 20:39:38 UTC 2024","235","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_us",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","266","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"broken","Sun Mar 24 20:40:50 UTC 2024","Sun Mar 24 20:41:15 UTC 2024","25156","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_2_firefox","","","test_add_to_cart",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","281","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_name",""
"broken","Sun Mar 24 20:39:41 UTC 2024","Sun Mar 24 20:40:17 UTC 2024","36234","Tests.Steam_website","Cart_UI_API_test","steam_cart_tests_0_chrome","","","test_add_to_cart",""
"passed","Sun Mar 24 20:39:37 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","2111","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_DESC_price_advanced_search",""
"broken","Sun Mar 24 20:41:23 UTC 2024","Sun Mar 24 20:45:40 UTC 2024","256344","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
"passed","Sun Mar 24 20:39:37 UTC 2024","Sun Mar 24 20:39:38 UTC 2024","485","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Sun Mar 24 20:39:39 UTC 2024","Sun Mar 24 20:39:39 UTC 2024","219","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_max_play_time",""
"passed","Sun Mar 24 20:39:37 UTC 2024","Sun Mar 24 20:39:38 UTC 2024","532","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_advanced_search",""
