"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 26 09:48:35 UTC 2024","Tue Mar 26 09:48:35 UTC 2024","266","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_range_of_play_time",""
"passed","Tue Mar 26 09:51:52 UTC 2024","Tue Mar 26 09:52:01 UTC 2024","9464","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 09:50:44 UTC 2024","Tue Mar 26 09:50:56 UTC 2024","12286","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_owned_from_search",""
"passed","Tue Mar 26 09:53:22 UTC 2024","Tue Mar 26 09:53:34 UTC 2024","11783","Tests.Steam_website","Wishlist_UI_API_test","wishlist_api_tests_0_chrome","","","test_remove_from_wishlist",""
"passed","Tue Mar 26 09:48:35 UTC 2024","Tue Mar 26 09:48:35 UTC 2024","266","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_filtering_review_by_min_play_time",""
"passed","Tue Mar 26 09:52:52 UTC 2024","Tue Mar 26 09:52:56 UTC 2024","4365","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_suggestions",""
"passed","Tue Mar 26 09:52:01 UTC 2024","Tue Mar 26 09:52:13 UTC 2024","11358","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"broken","Tue Mar 26 09:48:33 UTC 2024","Tue Mar 26 09:48:56 UTC 2024","23499","Tests.Steam_API","test_advanced_search_api","app_review_api_tests","","","test_sorting_by_ACS_price_advanced_search",""
"passed","Tue Mar 26 09:48:33 UTC 2024","Tue Mar 26 09:48:33 UTC 2024","329","Tests.Steam_API","test_Store_Search_api","store_search_tests","","","test_store_search",""
"passed","Tue Mar 26 09:48:35 UTC 2024","Tue Mar 26 09:48:35 UTC 2024","297","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Tue Mar 26 09:50:56 UTC 2024","Tue Mar 26 09:51:06 UTC 2024","9909","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_hide_wishlist_from_search",""
