"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 27 08:00:11 UTC 2024","Wed Mar 27 08:00:11 UTC 2024","391","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details_currency_IL",""
"passed","Wed Mar 27 08:00:12 UTC 2024","Wed Mar 27 08:00:12 UTC 2024","219","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_default_app_review_number",""
"passed","Wed Mar 27 08:03:28 UTC 2024","Wed Mar 27 08:03:36 UTC 2024","7430","Tests.Steam_website","Steam_HomePage_test","HomePage_Search_Tests_1_edge","","","test_search_result",""
"broken","Wed Mar 27 08:02:49 UTC 2024","Wed Mar 27 08:02:54 UTC 2024","4892","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_hide_wishlist_from_search",""
"broken","Wed Mar 27 08:02:54 UTC 2024","Wed Mar 27 08:02:59 UTC 2024","4821","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_2_firefox","","","test_price_slider",""
"broken","Wed Mar 27 08:02:25 UTC 2024","Wed Mar 27 08:02:29 UTC 2024","3343","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_0_chrome","","","test_price_slider",""
"broken","Wed Mar 27 08:02:38 UTC 2024","Wed Mar 27 08:02:43 UTC 2024","4800","Tests.Steam_website","Search_Page_Search_test","HomePage_Search_Tests_1_edge","","","test_price_slider",""
"passed","Wed Mar 27 08:00:12 UTC 2024","Wed Mar 27 08:00:12 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_app_review_language",""
"passed","Wed Mar 27 08:00:12 UTC 2024","Wed Mar 27 08:00:12 UTC 2024","203","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_get_app_review",""
"passed","Wed Mar 27 08:00:13 UTC 2024","Wed Mar 27 08:00:13 UTC 2024","93","Tests.Steam_API","test_app_details","app_details_api_tests","","","test_get_app_details",""
"passed","Wed Mar 27 08:00:13 UTC 2024","Wed Mar 27 08:00:13 UTC 2024","360","Tests.Steam_API","test_app_review_api","app_review_api_tests","","","test_changing_default_app_review_number",""
